signature,compound,overlap,p,direction,z-sum
Apratoxin a-up,Apratoxin,2,0.8039917245367704,up,-0.09474842140890218
Apratoxin a-dn,Apratoxin,2,0.999162253147961,dn,-0.0003639813184705809
Estradiol-up,Estradiol,2,0.9818859810229664,up,-0.007938940611737489
Estradiol-dn,Estradiol,2,0.9798235842780196,dn,-0.008852111319232747
Hydroxyzine-up,Hydroxyzine,2,0.9024382709610541,up,-0.04458249523710064
Hydroxyzine-dn,Hydroxyzine,4,0.9610065468052515,dn,-0.01727365371365016
Ribavirin-dn,Ribavirin,5,0.9116054137128687,dn,-0.04019310435756357
Cycloheximide-up,Cycloheximide,2,0.9845062905156391,up,-0.006781504586805093
Cycloheximide-dn,Cycloheximide,1,0.9959706021092296,dn,-0.0017534803816878378
Bleomycin-up,Bleomycin,2,0.9472661815888135,up,-0.023527967193422282
Bleomycin-dn,Bleomycin,7,0.5044241583514276,dn,-0.29720412196519225
Diclofenac-up,Diclofenac,1,0.9905647088068206,up,-0.004117148838400665
Diclofenac-dn,Diclofenac,4,0.9355416962527983,dn,-0.028936851617780358
Etanercept-up,Etanercept,2,0.9835054288233733,up,-0.0072232384883891285
Etanercept-dn,Etanercept,3,0.9177696098219038,dn,-0.037266327230994226
Chromium(iii) nicotinate-dn,Chromium(iii),7,0.5896906665199619,dn,-0.2293757460749254
Lipopolysaccharide-up,Lipopolysaccharide,6,0.6397615725117691,up,-0.1939818495086991
Lipopolysaccharide-dn,Lipopolysaccharide,1,0.9929995707570171,dn,-0.0030509392366421663
Sorafenib-up,Sorafenib,1,0.9928131712757957,up,-0.0031324698509325555
Sorafenib-dn,Sorafenib,4,0.9212460650353494,dn,-0.03562435415279327
Coenzyme q10-up,Coenzyme,1,0.9905647088068206,up,-0.004117148838400665
Coenzyme q10-dn,Coenzyme,6,0.7249714096956764,dn,-0.13967912012726014
"2,3-dimethoxy-1,4-naphtoquinone (dmnq)-up","2,3",3,0.9121917022550929,up,-0.0399138826335761
"2,3-dimethoxy-1,4-naphtoquinone (dmnq)-dn","2,3",6,0.5850848066775022,dn,-0.23278117938337547
Argyrin a-up,Argyrin,4,0.8723952570029813,up,-0.05928670423849137
Argyrin a-dn,Argyrin,2,0.968386519769378,dn,-0.01395126469759222
Lapatinib-up,Lapatinib,3,0.904076028941099,up,-0.04379504567378621
Lapatinib-dn,Lapatinib,3,0.9565136956070368,dn,-0.019308807253015467
Nicotinamide riboside-up,Nicotinamide,3,0.8416787006406611,up,-0.07485366285768803
Nicotinamide riboside-dn,Nicotinamide,3,0.9780337833127601,dn,-0.009646143522306324
Curcumin-dn,Curcumin,7,0.9601588801994622,dn,-0.017656897080517892
Progesterone-up,Progesterone,2,0.870363828603895,up,-0.060299166088165594
Progesterone-dn,Progesterone,1,0.9998437132049788,dn,-6.78797971682116e-05
Cetuximab-dn,Cetuximab,5,0.769348263655868,dn,-0.11387702203782456
Genistein-up,Genistein,1,0.9831560032674207,up,-0.007377564586320216
Bisphenol a-up,Bisphenol,2,0.8092166316009546,up,-0.091935199877638
Bisphenol a-dn,Bisphenol,3,0.9950566813058588,dn,-0.002152179880165821
Lysophosphatidic acid-up,Lysophosphatidic,5,0.601964929056733,up,-0.22042881033821482
Lysophosphatidic acid-dn,Lysophosphatidic,4,0.8915713929383877,dn,-0.049843874790629746
Adenosine triphosphate-up,Adenosine,3,0.7955618915272882,up,-0.09932602833266596
Adenosine triphosphate-dn,Adenosine,5,0.8801797962427518,dn,-0.05542860450857693
Lmp-420-up,Lmp,11,0.07453940759260079,up,-1.127614063155655
Lmp-420-dn,Lmp,3,0.8410210117195711,dn,-0.07519315383362997
Harman-up,Harman,2,0.9729141960928125,up,-0.011925459635637944
Harman-dn,Harman,2,0.9861966815429039,dn,-0.006036463161634282
Torcetrapib-up,Torcetrapib,5,0.8101207574953174,up,-0.09145023988065037
Torcetrapib-dn,Torcetrapib,2,0.9431932252854924,dn,-0.025399327327400793
Nickel-up,Nickel,1,0.997053597077847,up,-0.0012814953598455716
Nickel-dn,Nickel,6,0.5180082996275324,dn,-0.2856632818502049
Rituximab-up,Rituximab,3,0.6804529946869343,up,-0.16720187024487473
Rituximab-dn,Rituximab,5,0.9273715315699378,dn,-0.03274624019765727
Paclitaxel-up,Paclitaxel,2,0.9118030215775292,up,-0.040098972945338256
Paclitaxel-dn,Paclitaxel,3,0.9873353269318541,dn,-0.00553532361891308
Aminolevulinic acid-up,Aminolevulinic,3,0.8724727102009474,up,-0.059248148316625886
Aminolevulinic acid-dn,Aminolevulinic,7,0.5346758302869857,dn,-0.27190944748791074
Pimecrolimus-up,Pimecrolimus,1,0.9976329545335176,up,-0.0010292133630381648
Pimecrolimus-dn,Pimecrolimus,4,0.8072788339658482,dn,-0.09297643412916962
Doxycycline-up,Doxycycline,5,0.8432388330185965,up,-0.07404940144681373
Doxycycline-dn,Doxycycline,6,0.2263879130256086,dn,-0.6451467640845182
Deferasirox-up,Deferasirox,3,0.8320606146395793,up,-0.07984503471335022
Deferasirox-dn,Deferasirox,1,0.99942888803845,dn,-0.0002481016270990857
Plx4032-dn,Plx4032,2,0.9949549645692791,dn,-0.002196576622811814
Vanadium pentoxide-up,Vanadium,2,0.9877614923989074,up,-0.005347908691422149
Vanadium pentoxide-dn,Vanadium,3,0.8949083105909299,dn,-0.048221458811756275
Calcitriol-up,Calcitriol,2,0.9875668835971165,up,-0.005433481834650469
Calcitriol-dn,Calcitriol,4,0.7684511079024555,dn,-0.11438375893019892
Palmitic acid-up,Palmitic,1,0.9949116707963102,up,-0.002215474619662449
Palmitic acid-dn,Palmitic,3,0.9599285212696631,dn,-0.017761104433237685
Pd173074-up,Pd173074,3,0.85608153784845,up,-0.06748486879106422
Isotretinoin-up,Isotretinoin,3,0.5239150975595345,up,-0.280739086392057
Isotretinoin-dn,Isotretinoin,2,0.9993695868019132,dn,-0.0002738713083647888
Captopril-dn,Captopril,6,0.53966655997532,dn,-0.26787449182571005
Methylphenidate-up,Methylphenidate,1,0.9710413596741132,up,-0.012762271744208754
Methylphenidate-dn,Methylphenidate,6,0.8545661285704815,dn,-0.06825432479574145
Caerulein-dn,Caerulein,3,0.974422115025831,dn,-0.01125286805613432
Sodium butyrate-up,Sodium,7,0.24689961522954063,up,-0.6074795868757531
Sodium butyrate-dn,Sodium,4,0.9015002716605172,dn,-0.04503413807009196
Bexarotene-up,Bexarotene,1,0.9974997281239462,up,-0.0010872140114257247
Bexarotene-dn,Bexarotene,4,0.8279336787678375,dn,-0.08200445077400087
Alfacalcidol-up,Alfacalcidol,3,0.9379924270550242,up,-0.027800667912504042
Alfacalcidol-dn,Alfacalcidol,2,0.9778313807438161,dn,-0.009736029390457777
Plx4720-dn,Plx4720,1,0.9988864380634063,dn,-0.00048388327134646483
"2,3,7,8-tetrachlorodibenzo-p-dioxin-up","2,3,7,8",8,0.06287824001835261,up,-1.2014996228372048
"2,3,7,8-tetrachlorodibenzo-p-dioxin-dn","2,3,7,8",6,0.7789808919182465,dn,-0.1084731952622806
Atorvastatin-up,Atorvastatin,3,0.8785555943012354,up,-0.05623075148875489
Soman-up,Soman,4,0.853044173497308,up,-0.06902847902074813
Soman-dn,Soman,2,0.9765463320437515,dn,-0.010307146873215567
Phosgene-up,Phosgene,4,0.7797910130597747,up,-0.10802177427888647
Phosgene-dn,Phosgene,4,0.8775331313491403,dn,-0.05673647772198824
Insulin-up,Insulin,4,0.6718291307810009,up,-0.1727411689028768
Insulin-dn,Insulin,3,0.9772756131084681,dn,-0.00998293845938583
Concanavalin a-up,Concanavalin,1,0.9710413596741132,up,-0.012762271744208754
Concanavalin a-dn,Concanavalin,9,0.463914136305011,dn,-0.3335623935391802
Vemurafenib-up,Vemurafenib,3,0.9236970106069557,up,-0.034470461897334534
Fenretinide-up,Fenretinide,1,0.9561679550234152,up,-0.019465815325135347
Fenretinide-dn,Fenretinide,1,0.9999045661995185,dn,-4.144835075444565e-05
Sodium pyruvate-up,Sodium,3,0.9835351105088541,up,-0.007210131903180419
Sodium pyruvate-dn,Sodium,1,0.9713654844192616,dn,-0.012617332397438185
N-nitrosodimethylamine-up,N,1,0.993194259595971,up,-0.0029657992191630045
N-nitrosodimethylamine-dn,N,16,0.0015607062155276955,dn,-2.8066788400400773
1-naphthyl isothiocyanate-up,1,2,0.9597500604631601,up,-0.01784185185049913
1-naphthyl isothiocyanate-dn,1,16,0.001327980631321349,dn,-2.8768082591333646
Glipizide-up,Glipizide,3,0.9387985642161404,up,-0.027427583276133854
Glipizide-dn,Glipizide,14,0.0013376805038381886,dn,-2.87364760255411
Cyclophosphamide-up,Cyclophosphamide,1,0.9985281999027815,up,-0.0006396655061188015
Cyclophosphamide-dn,Cyclophosphamide,2,0.9640149342865066,dn,-0.015916238059843595
Cadmium-up,Cadmium,12,0.002036903157475129,up,-2.6910296186060982
Cadmium-dn,Cadmium,1,0.9991843984993635,dn,-0.00035435575735349247
Epz004777-up,Epz004777,3,0.7762269052223303,up,-0.11001130801820994
Folic acid-up,Folic,3,0.8416787006406611,up,-0.07485366285768803
Folic acid-dn,Folic,3,0.9780337833127601,dn,-0.009646143522306324
Metformin-up,Metformin,1,0.9972104766510743,up,-0.0012131674648450897
Metformin-dn,Metformin,15,0.0006364708740796691,dn,-3.1962214655624077
Irinotecan-up,Irinotecan,3,0.8397938276808115,up,-0.07582732166523211
Irinotecan-dn,Irinotecan,3,0.9784038117168775,dn,-0.009481864021258005
Zinc acetate-up,Zinc,7,0.04502855990451203,up,-1.3465119423447478
Zinc acetate-dn,Zinc,2,0.998842359044771,dn,-0.0005030483097558931
Mehp-up,Mehp,3,0.8490285520771725,up,-0.07107770457223118
Mehp-dn,Mehp,4,0.9317165715843156,dn,-0.0307161800465177
Colchicine-up,Colchicine,4,0.853044173497308,up,-0.06902847902074813
Colchicine-dn,Colchicine,9,0.09958630528880702,dn,-1.001800379913896
Chlorambucil-up,Chlorambucil,4,0.8482424897840866,up,-0.07147997684614338
Chlorambucil-dn,Chlorambucil,2,0.976102240016498,dn,-0.010504690581774702
Thapsigargin-up,Thapsigargin,3,0.8661235628171262,up,-0.062420146294827714
Thapsigargin-dn,Thapsigargin,3,0.9717097682313519,dn,-0.01246343144979329
Bpde-up,Bpde,1,0.9985548840255272,up,-0.0006280598124380384
Bpde-dn,Bpde,2,0.9640149342865066,dn,-0.015916238059843595
Cytarabine-up,Cytarabine,3,0.8644936529836805,up,-0.06323819092017192
Cytarabine-dn,Cytarabine,3,0.9712321209696375,dn,-0.012676962873857651
Dapt-dn,Dapt,4,0.8406628513989628,dn,-0.07537814348197003
"Puromycin, 2xec50, 1d-up","Puromycin,",2,0.9341378907382984,up,-0.02958901160007782
"Puromycin, 2xec50, 1d-dn","Puromycin,",1,0.9995726111461266,dn,-0.00018565229655184988
Cobalt dichloride hexahydrate-up,Cobalt,1,0.9948182785327421,up,-0.0022562437147484776
Cobalt dichloride hexahydrate-dn,Cobalt,7,0.4804691100725,dn,-0.31833452840395604
Acrylamide-up,Acrylamide,1,0.9694312090538124,up,-0.013483003076554308
Acrylamide-dn,Acrylamide,4,0.975399583686776,dn,-0.010817434106944267
Olanzapine-dn,Olanzapine,4,0.9734091045056017,dn,-0.011704596023422869
N-methylformamide-dn,N,13,0.013979113968533458,dn,-1.8545203543965754
Chlorpyrifos-up,Chlorpyrifos,3,0.9812987542960109,up,-0.008198752467606974
Cyfluthrin-up,Cyfluthrin,3,0.9703783217634893,up,-0.013058914165036387
Ethinyl estradiol-up,Ethinyl,5,0.4356586739264963,up,-0.36085363477827576
Ethinyl estradiol-dn,Ethinyl,6,0.7744213581723756,dn,-0.11102267789943693
Hydrogen peroxide-up,Hydrogen,3,0.9610830879312808,up,-0.017239064911869013
Hydrogen peroxide-dn,Hydrogen,2,0.9567544424810812,dn,-0.019199512546849255
"Dmnq   (2,3-dimethoxy-1,4-naphthoquinone)-up",Dmnq,4,0.8069167037628414,up,-0.0931712942286543
"Dmnq   (2,3-dimethoxy-1,4-naphthoquinone)-dn",Dmnq,4,0.8655570297012591,dn,-0.06270431211140809
Mln4924-up,Mln4924,7,0.5932934980862523,up,-0.22673041107723538
Mln4924-dn,Mln4924,2,0.9128257130000361,dn,-0.03961213496062623
Cediranib-dn,Cediranib,4,0.8301118316042859,dn,-0.08086339608537475
Quercetin-dn,Quercetin,19,0.0052310555819670285,dn,-2.281410665403011
Dexamethasone-up,Dexamethasone,2,0.945671380545084,up,-0.024259754095171452
Dexamethasone-dn,Dexamethasone,4,0.93460397913092,dn,-0.029372374273697217
Streptozocin-dn,Streptozocin,4,0.9533217747002544,dn,-0.020760487200056032
Medroxyprogesterone acetate-up,Medroxyprogesterone,1,0.9979169752143238,up,-0.0009055896807492597
Medroxyprogesterone acetate-dn,Medroxyprogesterone,2,0.9711920606445628,dn,-0.012694876549243658
Diethylstilbestrol-up,Diethylstilbestrol,2,0.9807221066942655,up,-0.00845403505265066
Diethylstilbestrol-dn,Diethylstilbestrol,4,0.8343997475880582,dn,-0.0786258359587188
Ciprofloxacin-up,Ciprofloxacin,2,0.9712001030680582,up,-0.012691280179560492
Ciprofloxacin-dn,Ciprofloxacin,11,0.05609528200003007,dn,-1.2510736643680402
Pioglitazone-dn,Pioglitazone,9,0.23189549402089632,dn,-0.6347076900893638
Dasatinib-up,Dasatinib,2,0.9733271509689623,up,-0.011741161807468748
Dasatinib-dn,Dasatinib,2,0.9876931743933697,dn,-0.005377947480294674
Cholestyramine-up,Cholestyramine,1,0.9997741741145888,up,-9.808601150208869e-05
Oprelvekin-up,Oprelvekin,7,0.4535029228719218,up,-0.3434199095232767
Celecoxib-up,Celecoxib,2,0.9767810882963599,up,-0.010202757466166522
Celecoxib-dn,Celecoxib,3,0.944573919497518,dn,-0.024764049839861545
Phenytoin-up,Phenytoin,1,0.9561679550234152,up,-0.019465815325135347
Phenytoin-dn,Phenytoin,4,0.9823323423858344,dn,-0.007741556972805869
Insulin regular-up,Insulin,1,0.9987286634832814,up,-0.0005524857059418668
Insulin regular-dn,Insulin,4,0.6766779030211927,dn,-0.16961800521100404
Carbidopa-up,Carbidopa,1,0.9965909943328527,up,-0.00148304163738734
Carbidopa-dn,Carbidopa,4,0.8212607085970489,dn,-0.08551895453501031
Cyclosporine-up,Cyclosporine,3,0.8965899524304336,up,-0.04740613233222709
Cyclosporine-dn,Cyclosporine,5,0.7642626566446964,dn,-0.11675736036708599
Interferon beta-1b-up,Interferon,4,0.6476448823081231,up,-0.1886630619209385
Interferon beta-1b-dn,Interferon,4,0.9400505925942632,dn,-0.02684877247131718
Vx-dn,Vx,2,0.9499600771812239,dn,-0.02229464589454001
"2,2',4,4',5,5'-hexachlorobiphenyl   (pcb-153)-up","2,2',4,4',5,5'",1,0.9928131712757957,up,-0.0031324698509325555
"2,2',4,4',5,5'-hexachlorobiphenyl   (pcb-153)-dn","2,2',4,4',5,5'",2,0.9931046193031211,dn,-0.003004998037609593
Simvastatin-up,Simvastatin,1,0.9762556900486984,up,-0.010436421847498613
Simvastatin-dn,Simvastatin,10,0.3115519736727951,dn,-0.5064694931574496
Sangivamycin (nsc 65346)-up,Sangivamycin,4,0.9570034140336134,up,-0.019086512909348027
Sangivamycin (nsc 65346)-dn,Sangivamycin,1,0.9627416660207129,dn,-0.016490232161873546
Mepenzolate bromide-up,Mepenzolate,1,0.9973590407401386,up,-0.0011484712347600088
Mepenzolate bromide-dn,Mepenzolate,3,0.9251082047818167,dn,-0.03380746727036075
Arc (nsc 188491)-up,Arc,5,0.8522026039898928,up,-0.0694571431035149
Arc (nsc 188491)-dn,Arc,2,0.9097036525549523,dn,-0.04110006154813112
Fluoxetine-up,Fluoxetine,1,0.9963994629301995,up,-0.0015665152247659418
Fluoxetine-dn,Fluoxetine,2,0.9851024851353376,dn,-0.006518585326305855
Lubiprostone-dn,Lubiprostone,3,0.8625394511358501,dn,-0.0642210318850981
Trastuzumab-up,Trastuzumab,2,0.9794861900160932,up,-0.009001682836254975
Trastuzumab-dn,Trastuzumab,4,0.8467270117718759,dn,-0.07225658540804135
Motexafin gadolinium (4 h)-dn,Motexafin,2,0.9967286949219951,dn,-0.0014230386118446934
Pertuzumab-up,Pertuzumab,2,0.9810196689417269,up,-0.008322285150914087
Pertuzumab-dn,Pertuzumab,6,0.5252718981662446,dn,-0.2796158331542351
Orotic acid-dn,Orotic,11,0.47495607340288265,dn,-0.323346554503317
Cadmium dichloride-up,Cadmium,1,0.9943251005524645,up,-0.0024715972001448016
Cadmium dichloride-dn,Cadmium,6,0.6594230223396849,dn,-0.18083589446834963
Tamoxifen-dn,Tamoxifen,5,0.5380360682392483,dn,-0.2691886096268724
Sodium dichromate-up,Sodium,2,0.9842617303281496,up,-0.006889400630769385
Sodium dichromate-dn,Sodium,3,0.9177696098219038,dn,-0.037266327230994226
Nickel chloride-up,Nickel,3,0.882948224874677,up,-0.05406476223271664
Nickel chloride-dn,Nickel,6,0.6624622157512197,dn,-0.1788388871401444
Mesalazine-up,Mesalazine,2,0.8666733407356302,up,-0.062144562325580334
Mesalazine-dn,Mesalazine,3,0.9915459281599429,dn,-0.003687164580750987
Mepenzolate-up,Mepenzolate,4,0.6920407391616745,up,-0.15986833867571135
Mepenzolate-dn,Mepenzolate,7,0.5213146463772894,dn,-0.2829000733628684
Ubiquinol-up,Ubiquinol,7,0.1934710988538202,up,-0.7133839016825559
Ubiquinol-dn,Ubiquinol,3,0.9726427048251356,dn,-0.012046666227073725
Heroin-up,Heroin,1,0.992410850609803,up,-0.0033084959776185463
Heroin-dn,Heroin,2,0.9937445094816869,dn,-0.002725257840774866
Arsenic-up,Arsenic,11,0.2841899627604486,up,-0.546391264884021
Phenol-up,Phenol,6,0.2078114469412014,up,-0.682330533744785
Phenol-dn,Phenol,3,0.987981137229958,dn,-0.005251346986404215
D-serine-dn,D,6,0.8625303260163627,dn,-0.06422562646914635
Pyrazinamide-up,Pyrazinamide,7,0.8417818988320978,up,-0.07480041729298219
Valproic acid-dn,Valproic,5,0.6810074037518608,dn,-0.16684816651438097
Nilotinib-up,Nilotinib,5,0.27945644425955296,up,-0.5536858711112556
Nilotinib-dn,Nilotinib,5,0.9283283765944401,dn,-0.03229837408614087
Aldosterone-up,Aldosterone,2,0.9565981702578233,up,-0.01927045416412847
Aldosterone-dn,Aldosterone,6,0.6976022463724778,dn,-0.15639212958695614
Amoxicillin-up,Amoxicillin,1,0.997053597077847,up,-0.0012814953598455716
Amoxicillin-dn,Amoxicillin,8,0.23168272496755657,dn,-0.6351063474398982
Natural alpha interferon-up,Natural,1,0.9954378693530289,up,-0.001985841451937092
Natural alpha interferon-dn,Natural,1,0.9985781405086941,dn,-0.0006179451508864551
Menadione-up,Menadione,2,0.9970260022127378,up,-0.0012935152387418864
Menadione-dn,Menadione,4,0.39133046673362337,dn,-0.4074563391189585
Ascorbic acid-dn,Ascorbic,2,0.8023426241837225,dn,-0.09564013543545792
Pbde 47-dn,Pbde,5,0.7616884954537608,dn,-0.11822260394275924
Vancomycin-up,Vancomycin,4,0.734887342827582,up,-0.1337792325325518
Vancomycin-dn,Vancomycin,4,0.9130866420065908,dn,-0.039488010680316855
Clozapine-up,Clozapine,2,0.9778335214631043,up,-0.00973507861144333
Clozapine-dn,Clozapine,3,0.9399626952459608,dn,-0.026889382113404685
Monuron-up,Monuron,2,0.9764197013284567,up,-0.010363466358582265
Monuron-dn,Monuron,2,0.9853836662157104,dn,-0.0063946408952662214
Haloperidol-up,Haloperidol,7,0.4960722004621259,up,-0.30445510983980373
Haloperidol-dn,Haloperidol,2,0.9526191757787246,dn,-0.02108068059152154
Phenobarbital sodium-up,Phenobarbital,5,0.8862828481481084,up,-0.05242765532921996
Phenobarbital sodium-dn,Phenobarbital,7,0.06120890484907758,dn,-1.2131853908366617
Azathioprine-up,Azathioprine,2,0.977137137617454,up,-0.010044480364190287
Azathioprine-dn,Azathioprine,2,0.9833020363930779,dn,-0.007313061424304574
Isoflurane-up,Isoflurane,3,0.8991414936963391,up,-0.04617195999508469
Isoflurane-dn,Isoflurane,4,0.8915713929383877,dn,-0.049843874790629746
Propofol-up,Propofol,4,0.5719036743092181,up,-0.24267711323284832
Propofol-dn,Propofol,5,0.9007754764666938,dn,-0.04538344596094495
"Puromycin, 2xec50, 3 d-up","Puromycin,",4,0.68348774475142,up,-0.16526926812549142
"Puromycin, 2xec50, 3 d-dn","Puromycin,",6,0.7302337796792625,dn,-0.13653808101518258
Fasudil-dn,Fasudil,2,0.9965288068834609,dn,-0.001510142533286097
Sevoflurane-up,Sevoflurane,5,0.5069840297490971,up,-0.29500572094493044
Sevoflurane-dn,Sevoflurane,5,0.8397611839324421,dn,-0.07584420351749559
Permethrin-up,Permethrin,2,0.9897162613323514,up,-0.004489294088948223
Permethrin-dn,Permethrin,2,0.9605440065487996,dn,-0.017482733495146792
Arachidonic acid-up,Arachidonic,2,0.9996100488552274,up,-0.00016938665879419822
Arachidonic acid-dn,Arachidonic,1,0.48930298358394225,dn,-0.31042213606901764
Cadmium chloride-up,Cadmium,1,0.9999632928021819,up,-1.5942026053882644e-05
Androstanolone-up,Androstanolone,1,0.9783058599306841,up,-0.009525345096543016
