gene_id,mouse_symbol,human_symbol,pooled_log2FC,pvalue,padj,direction,I2,k,n_studies_up,n_studies_down,core
ENSMUSG00000017466,Timp2,TIMP2,0.12904545310356452,0.04416866429576004,0.9999896186065661,up,0,4,4,0,FALSE
ENSMUSG00000020042,Abtb3,BTBD11,0.12839790551523395,0.023881114625120888,0.9999896186065661,up,0,4,3,1,FALSE
ENSMUSG00000030869,Ndufab1,NDUFAB1,-0.12814793119568665,0.009253828177405244,0.9999896186065661,down,25.00706190358133,4,0,4,FALSE
ENSMUSG00000059921,Unc5c,UNC5C,0.12770597790788216,0.03668928808047603,0.9999896186065661,up,4.754699271410338e-4,4,3,1,FALSE
ENSMUSG00000061859,Patj,INADL,0.12737872943870737,0.027723809355282195,0.9999896186065661,up,0,4,3,1,FALSE
ENSMUSG00000061603,Akap6,AKAP6,0.12717173324480963,0.034651305399911424,0.9999896186065661,up,31.67105614943823,4,4,0,FALSE
ENSMUSG00000040177,2310057M21Rik,C10orf88,0.12686485597112748,0.009361792855623672,0.9999896186065661,up,0,4,3,1,FALSE
ENSMUSG00000036199,Ndufa13,NDUFA13,-0.12651866496328754,0.024494948969952985,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000024588,Fech,FECH,0.12647620180298996,0.044785217089433206,0.9999896186065661,up,59.566988222695656,4,4,0,FALSE
ENSMUSG00000070283,Ndufaf3,NDUFAF3,-0.12642515756515518,0.016413488816869493,0.9999896186065661,down,21.545789430697305,4,0,4,FALSE
ENSMUSG00000002845,Tmem39a,TMEM39A,-0.12615623987559657,0.00714227547682259,0.9999896186065661,down,8.127214493264994,4,0,4,FALSE
ENSMUSG00000040842,Szrd1,SZRD1,-0.125961055923093,0.015871417581613124,0.9999896186065661,down,14.475989154674,4,0,4,FALSE
ENSMUSG00000030611,Mrps11,MRPS11,-0.12480319504805747,0.049524642359829285,0.9999896186065661,down,27.10199744032621,4,0,4,FALSE
ENSMUSG00000027552,E2f5,E2F5,-0.1247092863556438,0.018839753123011813,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000039960,Rhou,RHOU,0.12456555890328647,0.04343456238811438,0.9999896186065661,up,8.642746475662873,4,4,0,FALSE
ENSMUSG00000022956,Atp5po,ATP5O,-0.12428841438826356,0.04725695038626291,0.9999896186065661,down,0.01777416585378367,4,0,4,FALSE
ENSMUSG00000029212,Gabrb1,GABRB1,0.12399075453519269,0.0290615458315936,0.9999896186065661,up,0,4,4,0,FALSE
ENSMUSG00000029231,Pdgfra,PDGFRA,0.12349766397256849,0.017569770141896947,0.9999896186065661,up,0,4,4,0,FALSE
ENSMUSG00000032299,Commd4,COMMD4,-0.12312243823647002,0.01716140166613244,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000021243,Fcf1,FCF1,-0.1229980703885659,0.006737455507832089,0.9999896186065661,down,0.03925465366544679,4,0,4,FALSE
ENSMUSG00000029723,Tsc22d4,TSC22D4,-0.12264273739294344,0.04690609110317703,0.9999896186065661,down,24.566330403175325,4,0,4,FALSE
ENSMUSG00000060126,Tpt1,TPT1,-0.12262271919888305,0.006382086530027972,0.9999896186065661,down,3.0336104405558235e-4,4,1,3,FALSE
ENSMUSG00000053134,Supt7l,SUPT7L,0.1223938105743448,0.020455815433902534,0.9999896186065661,up,0.0405690051946326,4,3,1,FALSE
ENSMUSG00000028821,Syf2,SYF2,-0.12236741907303657,2.708223462282572e-4,0.5772191420789261,down,0.003796160205415106,4,0,4,FALSE
ENSMUSG00000068523,Gng5,GNG5,-0.12208484781198531,0.03436255577637057,0.9999896186065661,down,11.621176446311217,4,1,3,FALSE
ENSMUSG00000040725,Hnrnpul1,HNRNPUL1,0.12186881087481075,0.0056938501094416115,0.9999896186065661,up,20.907883389593366,4,4,0,FALSE
ENSMUSG00000028398,Dmac1,TMEM261,-0.1216697381460127,0.037505407605811274,0.9999896186065661,down,20.364592615347387,4,0,4,FALSE
