rank,compound,n_reversing_sigs,median_z_sum,best_z_sum,best_p,method,drh_pert_iname,drh_clinical_phase,drh_moa,drh_target,drh_disease_area,drh_indication
167,Isoflurane,2,-0.0480079173928572,-0.0498438747906297,0.8915713929383877,local_gmt_fallback,isoflurane,Launched,inhaled anaesthetic,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|KCNK10|KCNK18|KCNK2|KCNK3|KCNK9,neurology/psychiatry,general anaesthetic
168,Vanadium,2,-0.0267846837515892,-0.0482214588117562,0.8949083105909299,local_gmt_fallback,,,,,,
169,Alitretinoin,1,-0.047726447423065,-0.047726447423065,0.8959289138478845,local_gmt_fallback,,,,,,
170,Hydroxyzine,2,-0.0309280744753754,-0.0445824952371006,0.902438270961054,local_gmt_fallback,hydroxyzine,Launched,antihistamine,HRH1,neurology/psychiatry|allergy|dermatology,anxiety|urticaria|itching|dermatosis
171,Lapatinib,2,-0.0315519264634008,-0.0437950456737862,0.904076028941099,local_gmt_fallback,lapatinib,Launched,EGFR inhibitor,EGFR|ERBB2,oncology,breast cancer
172,Ribavirin,1,-0.0401931043575635,-0.0401931043575635,0.9116054137128689,local_gmt_fallback,ribavirin,Launched,antiviral,ADK|ENPP1|IMPDH1|IMPDH2|NT5C2,infectious disease,hepatitis C
173,Paclitaxel,2,-0.0228171482821256,-0.0400989729453382,0.9118030215775292,local_gmt_fallback,paclitaxel,Launched,tubulin polymerization inhibitor,BCL2|MAP2|MAP4|MAPT|NR1I2|TLR4|TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,oncology,ovarian cancer|breast cancer|non-small cell lung cancer (NSCLC)
174,Promegestone,2,-0.0203260132896425,-0.0399138826335761,0.9121917022550928,local_gmt_fallback,,,,,,
175,Levetiracetam,2,-0.0208233866226395,-0.0372677909536379,0.9177665166260384,local_gmt_fallback,levetiracetam,Launched,calcium channel blocker,CACNA1B|SCN1A|SV2A,neurology/psychiatry,seizures
176,Etanercept,2,-0.0222447828596916,-0.0372663272309942,0.9177696098219038,local_gmt_fallback,,,,,,
178,Sorafenib,2,-0.0193784120018629,-0.0356243541527932,0.9212460650353494,local_gmt_fallback,sorafenib,Launched,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET,oncology,renal cell carcinoma (RCC)|thyroid cancer|hepatocellular carcinoma (HCC)
179,Vemurafenib,1,-0.0344704618973345,-0.0344704618973345,0.9236970106069556,local_gmt_fallback,vemurafenib,Launched,RAF inhibitor,BRAF|RAF1,oncology,melanoma
180,Ursodeoxycholic,1,-0.0311614777288929,-0.0311614777288929,0.9307617388187662,local_gmt_fallback,,,,,,
181,Ethanol,2,-0.0160137339569411,-0.0297398859173281,0.9338134267068804,local_gmt_fallback,,,,,,
182,Imiquimod,2,-0.0193358969000895,-0.0296701109639242,0.9339634678090978,local_gmt_fallback,imiquimod,Launched,interferon inducer|toll-like receptor agonist,TLR7|TLR8,dermatology|infectious disease|oncology,actinic keratosis (AK)|genital warts|basal cell carcinoma (BCC)
183,Dexamethasone,2,-0.0268160641844343,-0.0293723742736972,0.93460397913092,local_gmt_fallback,dexamethasone,Launched,glucocorticoid receptor agonist,ANXA1|NOS2|NR0B1|NR3C1|NR3C2,endocrinology|rheumatology|allergy|gastroenterology|hematology|neurology/psychiatry|dermatology,hypercalcemia|rheumatoid arthritis|psoriatic arthritis|osteoarthritis|allergic rhinitis|ulcerative colitis|anemia|multiple sclerosis|enteritis|lupus|dermatitis herpetiformis (DH)|nephrotic syndrome|psoriasis
184,Diclofenac,2,-0.0165270002280905,-0.0289368516177803,0.9355416962527984,local_gmt_fallback,diclofenac,Launched,cyclooxygenase inhibitor,AKR1C3|ALOX5|ASIC1|ASIC3|KCNQ2|KCNQ3|PLA2G2A|PPARG|PTGS1|PTGS2|SCN4A,rheumatology|neurology/psychiatry,rheumatoid arthritis|osteoarthritis|migraine headache
185,Alfacalcidol,2,-0.0187683486514809,-0.027800667912504,0.9379924270550242,local_gmt_fallback,alfacalcidol,Launched,vitamin D receptor agonist,CYP27B1|VDR,endocrinology,vitamin D deficiency
186,Clozapine,2,-0.018312230362424,-0.0268893821134046,0.9399626952459608,local_gmt_fallback,clozapine,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CALY|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR3A|HTR5A|HTR6|HTR7,neurology/psychiatry,schizophrenia
