ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL,REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL,48,-0.5884261737501605,-1.8295489382463856,3.745619486284581e-4,0.00428206837881178,0.003124134005063411,1781,"tags=35%, list=12%, signal=31%",TBL3/MPHOSPH10/DKC1/IMP4/RRP9/PNO1/RCL1/FBL/IMP3/DIMT1/UTP14A/NOP10/NHP2/TRMT112/FCF1/RRP36/EMG1
REACTOME_REGULATION_OF_PD_L1_CD274_POST_TRANSLATIONAL_MODIFICATION,REACTOME_REGULATION_OF_PD_L1_CD274_POST_TRANSLATIONAL_MODIFICATION,80,-0.5174746497821477,-1.732255109157087,4.0407719754779315e-4,0.004580673441109017,0.0033419918594178384,1225,"tags=26%, list=8%, signal=24%",PSMD6/PSMA6/PSMB5/PSMA3/ERLIN1/SKP1/PSMA1/PSMA5/PSMB1/PSMA2/DERL2/PSMB4/PSMD14/ADRM1/PSMD13/PSMB6/PSMA7/OSTC/CDK4/PSMB3/TMEM258
REACTOME_NEGATIVE_REGULATION_OF_FGFR4_SIGNALING,REACTOME_NEGATIVE_REGULATION_OF_FGFR4_SIGNALING,25,0.6981281989694039,1.9057263334242436,4.319435583428593e-4,0.004855765501704311,0.0035426949741278377,2912,"tags=48%, list=19%, signal=39%",BRAF/CBL/MAPK1/MAPK3/FGF1/MKNK1/SRC/PPP2R1A/PPP2CB/FGF18/PTPN11/FGF2
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION,REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION,62,-0.5567578607580267,-1.7929619144800708,4.371108200891385e-4,0.004873243771076429,0.0035554468619690685,1396,"tags=32%, list=9%, signal=29%",CDC34/PSMD6/RASGRP2/PSMA6/PSMB5/PSMA3/SKP1/PSMA1/PSMA5/PSMB1/PSMA2/PSMB4/PSMD14/ADRM1/PSMD13/PSMB6/PSMA7/PSMB3/NFKB1/BCL10
REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES,REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES,20,0.7242519170695509,1.8779029160582665,4.419616756528436e-4,0.0048869368889810335,0.0035654371590630608,2964,"tags=60%, list=19%, signal=49%",FLOT2/DLG3/GRIA3/LRFN2/RTN3/PTPRF/FLOT1/PTPRS/GRIN1/LRFN3/GRIN2D/GRIN2A
REACTOME_METABOLISM_OF_STEROIDS,REACTOME_METABOLISM_OF_STEROIDS,130,0.4418706958268294,1.6283032678883806,4.6342559809073005e-4,0.005082610827840608,0.0037081979821551782,2864,"tags=28%, list=19%, signal=23%",NSDHL/SEC23A/TBL1XR1/NCOA1/ACACA/TBL1X/KPNB1/NCOA2/SEC24B/HSD17B7/SEC24D/SQLE/HMGCS1/DHCR7/LRP2/LSS/SC5D/ABCC3/CARM1/ACAT2/DHCR24/MBTPS2/FASN/SCD/GPAM/SRD5A3/FDPS/FDFT1/OSBPL6/SRD5A1/SP1/OSBPL1A/HSD17B4/MED1/UBE2I/SREBF2/CYP7B1
REACTOME_DAG_AND_IP3_SIGNALING,REACTOME_DAG_AND_IP3_SIGNALING,38,0.620295015428576,1.8784600502093933,4.927575621955696e-4,0.005360725414530834,0.0039111062873757015,2766,"tags=47%, list=18%, signal=39%",AHCYL1/PRKACB/PLCG1/ITPR2/ADCY7/CAMK2G/PRKCD/PRKAR2A/ADCY6/CAMK2D/CAMKK1/PDE1A/PRKAR1B/PRKCG/PRKCA/PRKACA/PRKCE/NBEA
REACTOME_HIV_TRANSCRIPTION_ELONGATION,REACTOME_HIV_TRANSCRIPTION_ELONGATION,39,-0.626548889874783,-1.8481810248296557,5.219422245139102e-4,0.005632800486954119,0.004109608251962157,1507,"tags=41%, list=10%, signal=37%",MNAT1/TCEA1/POLR2G/NCBP2/GTF2H4/POLR2H/POLR2C/POLR2E/POLR2F/CCNH/POLR2D/POLR2L/POLR2K/SUPT4H1/POLR2J/POLR2I
REACTOME_NEGATIVE_REGULATION_OF_FGFR1_SIGNALING,REACTOME_NEGATIVE_REGULATION_OF_FGFR1_SIGNALING,26,0.682341094414696,1.8725942695456514,5.44439471302452e-4,0.005828959101484188,0.004252722687283146,2912,"tags=50%, list=19%, signal=41%",BRAF/CBL/MAPK1/MAPK3/FGF1/MKNK1/SRC/FGF5/FGFR1/PPP2R1A/PPP2CB/PTPN11/FGF2
REACTOME_HIGH_LAMINAR_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_PECAM1_CDH5_KDR_IN_ENDOTHELIAL_CELLS,REACTOME_HIGH_LAMINAR_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_PECAM1_CDH5_KDR_IN_ENDOTHELIAL_CELLS,66,0.5200232063222012,1.7319727186645633,5.836773263381362e-4,0.006199848135670439,0.004523317862628738,2071,"tags=33%, list=13%, signal=29%",GNG2/PRKACB/CAPN2/GNG3/GNAQ/ADCY7/GNAS/FYN/MMP14/RICTOR/KDR/MTOR/VCL/PIK3CD/TRPV4/PIK3CA/PRKAR2A/ADCY6/PRKAR1B/GNA11/PIK3R2/PIEZO1
REACTOME_FGFR2_ALTERNATIVE_SPLICING,REACTOME_FGFR2_ALTERNATIVE_SPLICING,26,-0.6903617215848739,-1.9192552015538102,6.328327497009813e-4,0.006669463901145498,0.004865942606664618,2362,"tags=65%, list=15%, signal=55%",GTF2F1/HNRNPM/HNRNPH1/TIAL1/HNRNPF/POLR2G/NCBP2/POLR2H/POLR2C/POLR2E/PTBP1/POLR2F/POLR2D/POLR2L/POLR2K/POLR2J/POLR2I
REACTOME_NEPHRIN_FAMILY_INTERACTIONS,REACTOME_NEPHRIN_FAMILY_INTERACTIONS,20,0.7140271305997845,1.8513912066998175,6.482131447696045e-4,0.006688214838760076,0.004879623014506395,3172,"tags=60%, list=20%, signal=48%",PIK3R1/FYN/SPTBN1/CASK/PIK3CA/KIRREL2/PIK3R2/MAGI2/KIRREL3/ACTN4/PIK3CB/IQGAP1
