rank,compound,n_reversing_sigs,median_z_sum,best_z_sum,best_p,method
220,Angiotensin,2,-0.020121497572486016,-0.0342582815017173,0.9241484054323028,local_gmt_fallback
221,Progesterone,2,-0.017854179734111075,-0.03160516928967351,0.9298113232269942,local_gmt_fallback
222,Androstanolone,2,-0.012544093767559583,-0.024395958340036078,0.9453748438267786,local_gmt_fallback
223,Nicotine,2,-0.01585252874583992,-0.023756731408686536,0.9467673414001776,local_gmt_fallback
224,Sb,2,-0.01405617446618351,-0.0219450496583695,0.9507250792347102,local_gmt_fallback
225,Mycophenolic,2,-0.019287985116026248,-0.021631032802121558,0.9514127500896039,local_gmt_fallback
226,Phenol,2,-0.010149572921146448,-0.01951836638277327,0.9560522625624982,local_gmt_fallback
227,Lubiprostone,2,-0.014783987136333217,-0.01935907295707304,0.9564029941036662,local_gmt_fallback
228,Lipopolysaccharide,1,-0.0182119136585222,-0.0182119136585222,0.9589326069108629,local_gmt_fallback
229,Carbidopa,2,-0.009858478798876616,-0.014571885952041458,0.9670036515525147,local_gmt_fallback
230,Morphine,2,-0.007486195661964979,-0.012516759144432123,0.9715904578034814,local_gmt_fallback
231,Mesalazine,1,-0.005900133482008823,-0.005900133482008823,0.9865063078167038,local_gmt_fallback
232,Methotrexate,2,-0.0037897938602772458,-0.003912613391780122,0.9910313353025518,local_gmt_fallback
233,Trichostatin,1,-0.00198741625283766,-0.00198741625283766,0.9954342597892968,local_gmt_fallback
234,Vanadium,1,-0.001583070368164593,-0.001583070368164593,0.9963614812788532,local_gmt_fallback
235,Cholestyramine,1,-0.001070256669836116,-0.001070256669836116,0.9975386769813749,local_gmt_fallback
236,Orotic,1,-0.0010412048564021922,-0.0010412048564021922,0.9976054088374641,local_gmt_fallback
237,Paclitaxel,1,-0.000822101446584055,-0.000822101446584055,0.9981088319802068,local_gmt_fallback
